harga,merek,model,varian,tahun,jarak_tempuh,tipe_bahan_bakar,warna,transmisi
30000000,Geely,Panda,1.3,2011,20.000-25.000 km,Bensin,Merah,Manual
175000000,Mazda,2,GT,2014,50.000-55.000 km,Bensin,Putih,Automatic
130000000,Mazda,2,RZ,2013,55.000-60.000 km,Bensin,Putih,Automatic
190000000,KIA,Sorento,Lain-lain,2013,65.000-70.000 km,Bensin,Silver,Automatic
150000000,Dodge,Lain-lain,Lain-lain,<1986,40.000-45.000 km,Bensin,Biru,Manual
100000000,Nissan,Evalia,XV,2012,75.000-80.000 km,Bensin,Marun,Automatic
72000000,KIA,Picanto,SE,2011,70.000-75.000 km,Bensin,Hitam,Manual
420000000,Mini Cooper,Mini Cooper,Lain-lain,2013,45.000-50.000 km,Bensin,Merah,Automatic Triptonic
143000000,Daihatsu,Xenia,R 1.3 STD,2018,30.000-35.000 km,Bensin,Putih,Manual
609000000,Mercedes-Benz,GLA-Class,GLA200,2017,10.000-15.000 km,Bensin,Putih,Automatic Triptonic
97000000,Nissan,Serena,HWS,2011,70.000-75.000 km,Bensin,Abu-abu,Automatic
107000000,Isuzu,Panther,LV,2007,220.000-225.000 km,Diesel,Hijau,Manual
190000000,Mazda,Biante,2,2013,45.000-50.000 km,Bensin,Abu-abu,Automatic Triptonic
47000000,Suzuki,Carry,RV. Gx,2006,180.000-185.000 km,Bensin,Biru,Manual
115000000,Daihatsu,Terios,TX,2013,100.000-105.000 km,Bensin,Silver,Automatic
130000000,BMW,Lain-lain,Lain-lain,2000,125.000-130.000 km,Bensin,Hitam,Automatic Triptonic
169000000,Nissan,Serena,HWS,2014,70.000-75.000 km,Bensin,Hitam,Automatic
168000000,Honda,Freed,E,2012,60.000-65.000 km,Bensin,Abu-abu,Automatic
137000000,Daihatsu,Xenia,R 1.3 STD,2016,30.000-35.000 km,Bensin,Hitam,Manual
119000000,Honda,Freed,E,2010,95.000-100.000 km,Bensin,Abu-abu,Automatic
228000000,Mitsubishi,Xpander,ULTIMATE A/T,2018,5.000-10.000 km,Bensin,Merah,Automatic
210000000,Mazda,CX-5,Grand Touring,2013,95.000-100.000 km,Bensin,Putih,Automatic Triptonic
3100000000,Lamborghini,Gallardo ,Lain-lain,2013,10.000-15.000 km,Bensin,Putih,Automatic
425000000,Mitsubishi,Pajero Sport,Dakar 2.4,2016,40.000-45.000 km,Diesel,Hitam,Automatic Triptonic
388000000,BMW,Serie 3,320i,2015,40.000-45.000 km,Bensin,Silver,Automatic
115000000,Chevrolet,Captiva,Lain-lain,2008,90.000-95.000 km,Bensin,Hitam,Automatic
295000000,Jaguar,XJ,Portfolio L,1996,65.000-70.000 km,Bensin,Biru,Automatic
525000000,BMW,X1,sDrive18i,2017,15.000-20.000 km,Bensin,Putih,Automatic
145000000,Mazda,Lain-lain,Lain-lain,2013,45.000-50.000 km,Bensin,Abu-abu,Manual
230000000,Mazda,Biante,Lain-lain,2012,30.000-35.000 km,Bensin,Putih,Automatic
99000000,Datsun,Go+,Panca T Ultimate,2017,20.000-25.000 km,Bensin,Merah,Manual
1200000000,Fiat,Abart,Lain-lain,2017,0-5.000 km,Bensin,Kuning,Manual
82999975,Datsun,Go,Panca T Active,2017,35.000-40.000 km,Bensin,Abu-abu,Manual
235000000,Chevrolet,Trax,LTZ,2018,20.000-25.000 km,Hybrid,Hitam,Automatic
235000000,Mitsubishi,Xpander,ULTIMATE A/T,2018,15.000-20.000 km,Bensin,Putih,Automatic Triptonic
995000000,Mercedes-Benz,E-Class,E250,2017,5.000-10.000 km,Bensin,Putih,Automatic
78500000,Isuzu,Panther,LM,2003,110.000-115.000 km,Diesel,Biru,Manual
110000000,Chevrolet,Aveo,LT,2014,60.000-65.000 km,Bensin,Silver,Automatic
267100000,Mitsubishi,Xpander,ULTIMATE A/T,2019,15.000-20.000 km,Bensin,Hitam,Automatic Triptonic
150000000,Suzuki,Ertiga,GL,2013,15.000-20.000 km,Bensin,Merah,Automatic
179000000,Mazda,Biante,2,2012,70.000-75.000 km,Bensin,Putih,Automatic
148000000,Nissan,Teana,250 XV,2010,70.000-75.000 km,Bensin,Hitam,Automatic
1650000000,Land Rover,Discovery Sport,HSE Si4,2015,0-5.000 km,Bensin,Putih,Automatic Triptonic
66000000,KIA,Picanto,A/T Option,2008,110.000-115.000 km,Bensin,Abu-abu,Automatic
96000000,Nissan,Grand livina,Lain-lain,2010,80.000-85.000 km,Bensin,Silver,Automatic
199000000,Mazda,Biante,2,2013,90.000-95.000 km,Bensin,Putih,Automatic
90000000,Chevrolet,Spin,LT,2014,100.000-105.000 km,Bensin,Putih,Manual
140000000,Chevrolet,Orlando,LT,2012,95.000-100.000 km,Bensin,Putih,Automatic Triptonic
123000000,Daihatsu,Xenia,R 1.3 Sporty,2014,65.000-70.000 km,Bensin,Hitam,Automatic
